"ITTER107","Territorio","TIPO_DATO_ISTR","Tipo dato","SEXISTAT1","Sesso","CITTADINANZA","Cittadinanza","ORDINESCOL2","Ordine scolastico","NATGIUR1","Gestione della scuola","TIPO_SCUOLA2","Tipo di scuola superiore","TIME","Seleziona anno (anno t= anno sc. t-1 / t)","Value","Flag Codes","Flags"
"ITE1","Toscana","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","PRI","privata","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",26,,
"ITF3","Campania","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PRI","privata","COMM","istituto tecnico commerciale","2019","2019",196,,
"ITD5","Emilia-Romagna","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","STA","statale","INDU","istituto tecnico industriale","2019","2019",3277,,
"ITF1","Abruzzo","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",19,,
"ITF3","Campania","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","VOC_OTH","altri istituti professionali","2019","2019",21,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","LIN","liceo linguistico","2019","2019",627,,
"ITC4","Lombardia","ENR","iscritti ","F","femmine","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","ALL","totale","2019","2019",50,,
"ITE3","Marche","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PRI","privata","ALL","totale","2019","2019",546,,
"ITC3","Liguria","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",809,,
"ITD","Nord-est","ENR","iscritti ","F","femmine","ITL","italiano-a","UPP","secondaria II grado","PRI","privata","SCI","liceo scientifico","2019","2019",1739,,
"ITC","Nord-ovest","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","COMM","istituto tecnico commerciale","2019","2019",195,,
"ITD","Nord-est","SCHO","scuole","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","TECH","altri istituti tecnici","2019","2019",1,,
"ITD5","Emilia-Romagna","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","STA","statale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",457,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","T","totale","FRG","straniero-a","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",122,,
"ITD5","Emilia-Romagna","ENR","iscritti ","T","totale","ITL","italiano-a","UPP","secondaria II grado","ALL","totale","IND","istituto professionale per l'industria e l'artigianato","2019","2019",9268,,
"ITE4","Lazio","REPT","ripetenti ","T","totale","TOTAL","totale","UPP","secondaria II grado","ALL","totale","PSY","licei socio-psico-pedagogici, della comunicazione, delle scienze sociali (ex ist./scuole magistrali)","2019","2019",746,,
"ITC","Nord-ovest","ENR","iscritti ","M","maschi","FRG","straniero-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","COMM","istituto tecnico commerciale","2019","2019",16,,
"ITD4","Friuli-Venezia Giulia","ENR","iscritti ","F","femmine","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","TECH","altri istituti tecnici","2019","2019",2111,,
"ITC","Nord-ovest","ENR","iscritti ","M","maschi","ITL","italiano-a","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","INDU","istituto tecnico industriale","2019","2019",255,,
"ITE1","Toscana","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","ART","istituto d arte","2019","2019",318,,
"ITE1","Toscana","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB","pubblica","COM","istituto professionale per i servizi commerciali","2019","2019",535,,
"ITC","Nord-ovest","CLAS","classi","T","totale","TOTAL","totale","UPP","secondaria II grado","PUB_NSTA","non statale pubblica","ALL","totale","2019","2019",300,,
